DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-290101;0001;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;6875;KILOGRAMO;6875;KILOGRAMO;73;BUL;9537.6;1.39;10111.34;1.47;533.33;6875;6.875;6987.5;CHANNEL PRIME ALLIANCE INTERNATIONAL;CPA;POLIETILENO CPA S/M 275 SACO DE PLASTICO DE 25 KG POLIETILENO LINEAL DE BAJA DENSIDAD PARA USO INDUSTRIAL CPA 2B50IN;POLIETILENO CPA S/M 275 SACO DE PLASTICO DE 25 KG POLIETILENO LINEAL DE BAJA DENSIDAD PARA USO INDUSTRIAL CPA 2B50IN
118-290101;0002;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;13750;KILOGRAMO;13750;KILOGRAMO;0;BUL;18776.95;1.37;19923.17;1.45;1066.66;13750;13.75;13975;CHANNEL PRIME ALLIANCE INTERNATIONAL;CERTENE;POLIETILENO CERTENE S/M 550 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD PARA USO INDUSTRIAL HDPE HI-20;POLIETILENO CERTENE S/M 550 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD PARA USO INDUSTRIAL HDPE HI-20
118-290101;0003;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;1450;KILOGRAMO;1450;KILOGRAMO;0;BUL;1917.21;1.32;2037.81;1.41;112.48;1450;1.45;1473.72;CHANNEL PRIME ALLIANCE INTERNATIONAL;CERTENE;POLIETILENO CERTENE S/M 58 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD, PARA USO INDUSTRIAL CERTENE HPB-0354;POLIETILENO CERTENE S/M 58 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD, PARA USO INDUSTRIAL CERTENE HPB-0354
118-290101;0004;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Singapur;Estados Unidos;1375;KILOGRAMO;1375;KILOGRAMO;0;BUL;3001.98;2.18;3121.36;2.27;106.66;1375;1.375;1397.5;CHANNEL PRIME ALLIANCE INTERNATIONAL;EXXON MOBILE;ELASTOMERO EXXON MOBILE S/M 55 SACO DE PLASTICO DE 25 KG ELASTOMERO DE PROPILENO PARA USO INDUSTRIAL VISTAMAXX 6202;ELASTOMERO EXXON MOBILE S/M 55 SACO DE PLASTICO DE 25 KG ELASTOMERO DE PROPILENO PARA USO INDUSTRIAL VISTAMAXX 6202
118-290101;0005;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;10925;KILOGRAMO;10925;KILOGRAMO;0;BUL;14445.19;1.32;15353.9;1.41;847.51;10925;10.925;11103.77;CHANNEL PRIME ALLIANCE INTERNATIONAL;CERTENE;POLIETILENO CERTENE S/M 437 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD PARA USO INDUSTRIAL CERTENE HPB-0354;POLIETILENO CERTENE S/M 437 SACO DE PLASTICO DE 25 KG POLIETILENO DE ALTA DENSIDAD PARA USO INDUSTRIAL CERTENE HPB-0354
118-290101;0006;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Singapur;Estados Unidos;1375;KILOGRAMO;1375;KILOGRAMO;0;BUL;3282.08;2.39;3402.64;2.47;106.66;1375;1.375;1397.5;CHANNEL PRIME ALLIANCE INTERNATIONAL;EXXON MOBILE;ELASTOMERO EXXON MOBILE S/M 55 SACO DE PLASTICO DE 25 KG ELASTOMERO DE PROPILENO PARA USO INDUSTRIAL VISTAMAXX 6102;ELASTOMERO EXXON MOBILE S/M 55 SACO DE PLASTICO DE 25 KG ELASTOMERO DE PROPILENO PARA USO INDUSTRIAL VISTAMAXX 6102
118-290101;0007;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;2750;KILOGRAMO;2750;KILOGRAMO;0;BUL;4110.7;1.49;4341.44;1.58;213.33;2750;2.75;2795;CHANNEL PRIME ALLIANCE INTERNATIONAL;CERTENE;POLIETILENO CERTENE S/M 110 SACO DE PLASTICO DE 25 KG POLIETILENO DE BAJA DENSIDAD PARA USO INDUSTRIAL CERTENE LDF-720A;POLIETILENO CERTENE S/M 110 SACO DE PLASTICO DE 25 KG POLIETILENO DE BAJA DENSIDAD PARA USO INDUSTRIAL CERTENE LDF-720A
118-290101;0008;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39019010;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;5500;KILOGRAMO;5500;KILOGRAMO;0;BUL;7630.08;1.39;8089.07;1.47;426.66;5500;5.5;5590;CHANNEL PRIME ALLIANCE INTERNATIONAL;EXXON MOBILE;COPOLIMERO EXXON MOBILE S/M 220 SACO DE PLASTICO DE 25 KG COPOLIMERO DE ETILENO PARA USO INDUSTRIAL ENABLE 20-10HE;COPOLIMERO EXXON MOBILE S/M 220 SACO DE PLASTICO DE 25 KG COPOLIMERO DE ETILENO PARA USO INDUSTRIAL ENABLE 20-10HE
118-290101;0009;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;0;BUL;33261.66;1.34;35322.59;1.43;1920;24750;24.75;25155;CHANNEL PRIME ALLIANCE INTERNATIONAL;EXXON MOBIL;POLIETILENO EXXON MOBIL S/M 990 SACO DE PLASTICO DE 25 KG POLIETILENO DE BAJA DENSIDAD PARA USO INDUSTRIAL EXXONMOBIL LD 105.BR;POLIETILENO EXXON MOBIL S/M 990 SACO DE PLASTICO DE 25 KG POLIETILENO DE BAJA DENSIDAD PARA USO INDUSTRIAL EXXONMOBIL LD 105.BR
118-290101;0010;04/08/2015;2015;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39019010;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01928-15;SMLU4137736A;HOUSTON;Estados Unidos;Estados Unidos;1375;KILOGRAMO;1375;KILOGRAMO;0;BUL;1937.34;1.41;2052.2;1.49;106.66;1375;1.375;1397.5;CHANNEL PRIME ALLIANCE INTERNATIONAL;EXXON MOBIL;COPOLIMERO EXXON MOBIL S/M 55 SACO DE PLASTICO DE 25 KG COPOLIMERO DE ETILENO PARA USO INDUSTRIAL EXCEED 1018KA;COPOLIMERO EXXON MOBIL S/M 55 SACO DE PLASTICO DE 25 KG COPOLIMERO DE ETILENO PARA USO INDUSTRIAL EXCEED 1018KA
