DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-074097;0001;28/02/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00343-11;MSCUHT613745;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52849.1;1.51;56112;1.6;3150.9;35000;35;35070;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-089824;0001;11/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00485-11;MSCUHT626986;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;34900;KILOGRAMO;1400;SAC;48999.1;1.4;52243.87;1.49;3150.9;34900;34.9;34990;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-089956;0001;11/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00485-11;MSCUHT626838;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52849.1;1.51;56100.8;1.6;3150.9;35000;35;35020;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL CODIGO: T30308;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL CODIGO: T30308
118-089956;0002;11/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00485-11;MSCUHT627315;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52849.1;1.51;56100.8;1.6;3150.9;35000;35;35100;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L4904 K, 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-099462;0001;21/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00570-11;MSCUHT634998;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;50049.1;1.43;53295.76;1.52;3150.9;35000;35;35030;NO DETERMINADO;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-101712;0001;22/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00570-11;MSCUHT647149;HOUSTON;Estados Unidos;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;26087.35;1.49;27712.58;1.58;1575.45;17500;17.5;17510;NO DETERMINADO;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-101712;0002;22/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00570-11;MSCUHT647172;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52158.7;1.49;55393.13;1.58;3134.9;35000;35;35000;NO DETERMINADO;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-101712;0003;22/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00570-11;MSCUHT647180;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52158.7;1.49;55393.13;1.58;3134.9;35000;35;35060;NO DETERMINADO;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 1400 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-112638;0001;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;16250;KILOGRAMO;16250;KILOGRAMO;650;SAC;23318.75;1.44;24988.64;1.54;1625;16250;16.25;16468.63;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03
118-112638;0002;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;8500;KILOGRAMO;8500;KILOGRAMO;340;SAC;12197.5;1.44;13070.98;1.54;850;8500;8.5;8614.36;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C100717P01;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C100717P01
