DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-206823;0001;09/06/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01373-16;MSCUUH560304;HOUSTON;Estados Unidos;Estados Unidos;22.5;UNIDAD;22500;KILOGRAMO;900;BUL;18012.5;800.56;19033.41;845.93;1000;22500;22.5;22870;MTS LOGISTICS INC.ON BEHALF OF POLYMER CHEMICAL C;POLYMER CHEMICAL CORP;PVC FORMOLON 622 POLYMER CHEMICAL CORP S/M 22.50 TONELADAS METRICAS USO INDUSTRIAL PVC FORMOLON 622;PVC FORMOLON 622 POLYMER CHEMICAL CORP S/M 22.50 TONELADAS METRICAS USO INDUSTRIAL PVC FORMOLON 622
118-206917;0001;09/06/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01373-16;MSCUUH560304;HOUSTON;Estados Unidos;Estados Unidos;22.5;UNIDAD;22500;KILOGRAMO;900;BUL;18012.5;800.56;19033.41;845.93;1000;22500;22.5;22870;MTS LOGISTICS INC.ON BEHALF OF POLYMER CHEMICAL C;POLYMER CHEMICAL CORP;PVC FORMOLON 622 POLYMER CHEMICAL CORP S/M 22.50 TONELADAS METRICAS USO INDUSTRIAL PVC FORMOLON 622;PVC FORMOLON 622 POLYMER CHEMICAL CORP S/M 22.50 TONELADAS METRICAS USO INDUSTRIAL PVC FORMOLON 622
118-246670;0001;06/07/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01577-16;NAM2437510;KINGSTON;Estados Unidos;Estados Unidos;64.17;TONELADAS;64175;KILOGRAMO;2567;BUL;48080;749.26;51686.61;805.46;3545;64175;64.175;64890;UNITCARGO CONTAINER LINE INC. C/O OCI INTERNATIONA;FORMOSA PLASTICS;FORMOLON 622 FORMOSA PLASTICS S/M 64.175 TONELADAS METRICAS USO INDUSTRIAL POLYVINYL CHLORIDE FORMOLON 622;FORMOLON 622 FORMOSA PLASTICS S/M 64.175 TONELADAS METRICAS USO INDUSTRIAL POLYVINYL CHLORIDE FORMOLON 622
118-359230;0001;21/09/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02445-16;SEAUSLD301189;HOUSTON;Estados Unidos;Estados Unidos;35;TONELADAS;35000;KILOGRAMO;1400;BLS;39200;1120;41204.14;1177.26;1955;35000;35;35350;UNITCARGO CONTAINER LINE INC C OOCI INTERNATIONAL;FORMOSA PLASTICS;POLIETILENO FORMOSA PLASTICS S/M 30 TONELADAS DENSIDAD: 0.9554 USO INDUSTRIAL 35MT HIGHT DENSITY POLYETHLENE HB5502B;POLIETILENO FORMOSA PLASTICS S/M 30 TONELADAS DENSIDAD: 0.9554 USO INDUSTRIAL 35MT HIGHT DENSITY POLYETHLENE HB5502B
118-374335;0001;30/09/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;UNIMAR S A;02522-16;NAM2506657;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;1870;BUL;24015;1027.6;25275.29;1081.53;1230;23375;23.375;23720;CHEMIUM INTERNATIONAL CORP. 1455 WEST LOOP SOUTH S;CHEMIUN;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTE: LP16070297 POLYPROPYLENE TOTAL GRADE 3825WZ;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTE: LP16070297 POLYPROPYLENE TOTAL GRADE 3825WZ
118-374335;0002;30/09/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;UNIMAR S A;02522-16;NAM2506657;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;0;BUL;24015;1027.6;25275.29;1081.53;1230;23375;23.375;23720;CHEMIUM INTERNATIONAL CORP. 1455 WEST LOOP SOUTH S;CHEMIUN;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTES: LP16060484 - LP16080030 POLYPROPYLENE TOTAL GRADE 3462;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTES: LP16060484 - LP16080030 POLYPROPYLENE TOTAL GRADE 3462
118-388488;0001;11/10/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;02548-16;NBCA059746;NINGBO;China;Estados Unidos;19;UNIDAD;19000;KILOGRAMO;760;BUL;23945;1260.26;24959.87;1313.68;985;19000;19;19100;TOTAL PETROCHEMICALS NINGBO LTD. NO. 2388 MINGHAI;CHEMIUM;POLIESTIRENO CHEMIUM S/M 760 BOLSAS DE 25 C/ BOLSAS USO INDUSTRIAL HIGH IMPACT POLYSTYRENE TOTAL GRADE 4241;POLIESTIRENO CHEMIUM S/M 760 BOLSAS DE 25 C/ BOLSAS USO INDUSTRIAL HIGH IMPACT POLYSTYRENE TOTAL GRADE 4241
118-456815;0001;24/11/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03006-16;MSCUUH751960;HOUSTON;Estados Unidos;Estados Unidos;23.37;UNIDAD;23375;KILOGRAMO;1870;BLS;24011.25;1027.44;25041.26;1071.51;1000;23375;23.375;23645;CHEMIUM INTERNATIONAL CORP.;CHEMIUN;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTE: LP16070277 POLYPROPYLENE TOTAL GRADE 3825WZ;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTE: LP16070277 POLYPROPYLENE TOTAL GRADE 3825WZ
118-456815;0002;24/11/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03006-16;MSCUUH751960;HOUSTON;Estados Unidos;Estados Unidos;23.37;UNIDAD;23375;KILOGRAMO;0;BLS;24011.25;1027.44;25041.26;1071.51;1000;23375;23.375;23645;CHEMIUM INTERNATIONAL CORP.;CHEMIUN;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTES: LP16080126 POLYPROPYLENE TOTAL GRADE 3462;POLIPROPILENO CHEMIUN S/M 23.375 TONELADAS 935 BOLSAS DE 25 KG C/BOLSA USO INDUSTRIAL / LOTES: LP16080126 POLYPROPYLENE TOTAL GRADE 3462
118-479671;0001;09/12/2016;2016;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;UNIMAR S A;03253-16;NAM2555923;HOUSTON;Estados Unidos;Estados Unidos;46.75;UNIDAD;46750;KILOGRAMO;1870;BUL;36986.25;791.15;39083.09;836;2050;46750;46.75;47260;UNITCARGO CONTAINER LINE INC. C/O OCI INTERNATIONA;S/M;POLICLORURO DE VINILO S/M S/M 46.75 TONELADAS METRICAS USO INDUSTRIAL POLYVINYL CHLORIDE AXIALL 1091;POLICLORURO DE VINILO S/M S/M 46.75 TONELADAS METRICAS USO INDUSTRIAL POLYVINYL CHLORIDE AXIALL 1091
