DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN Netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-340733;0002;02/09/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;86090000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02007-21;IBC0741858;VALENCIA;China;España;1;U;1;UNIDAD;0;No disponible;2335.1;2335.1;3791.32;3791.32;1419.84;3720;3.72;3720;SAMPOL INGENIERIA Y OBRAS SAGREMIO BONETEROS 48PAL;SIN MARCA;CONTENEDOR, SIN MARCA, SIN MODELO ANO DE FABRICACION 1990 TRANSPORTE DE MERCANCIA CONT: RIBU0979560 CONTENEDOR DE 40 PIES;CONTENEDOR, SIN MARCA, SIN MODELO ANO DE FABRICACION 1990 TRANSPORTE DE MERCANCIA CONT: RIBU0979560 CONTENEDOR DE 40 PIES
118-340733;0001;02/09/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;35069100;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02007-21;IBC0741858;VALENCIA;España;España;12000;KG;8280;KILOGRAMO;0;No disponible;83992.17;7;89430.26;7.45;4580.15;8280;8.28;9850;SAMPOL INGENIERIA Y OBRAS SAGREMIO BONETEROS 48PAL;SIN MARCA;RESINA EPOXI, SIN MARCA, SIN MODELO ADHESIVO DE DOS COMPONENTES BASADO EN RESINAS EPOXI PARA PEGADO Y UNION DE MATERIALES DE CONSTRUCCION RESINA EPOXI SEIREPOX A/N (COMPONENTE A - 9.840 KGS, CMPONENTE B - 2.160 KGS);RESINA EPOXI, SIN MARCA, SIN MODELO ADHESIVO DE DOS COMPONENTES BASADO EN RESINAS EPOXI PARA PEGADO Y UNION DE MATERIALES DE CONSTRUCCION RESINA EPOXI SEIREPOX A/N (COMPONENTE A - 9.840 KGS, CMPONENTE
118-387742;0001;06/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85309000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02312-21;HLCURTM210951890;ANTWERPEN;Bélgica;España;35;U;35;UNIDAD;0;No disponible;933.52;26.67;1110;31.71;165.41;72.88;0.07288;80.73;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;SOPORTE LUZ. ADB. 1409.05.028 SOPORTE LUZ ILUMINACION DE PISTA DE AEROPUERTO L-862E (L) SOPORTE LUZ ELEVADA: MR.F2 60MM 11TPI F CONDUIT.;SOPORTE LUZ. ADB. 1409.05.028 SOPORTE LUZ ILUMINACION DE PISTA DE AEROPUERTO L-862E (L) SOPORTE LUZ ELEVADA: MR.F2 60MM 11TPI F CONDUIT.
118-387742;0002;06/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85309000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02312-21;HLCURTM210951890;ANTWERPEN;Bélgica;España;343;U;343;UNIDAD;0;No disponible;14160.46;41.28;16837.44;49.09;2509.07;1105.6;1.1056;1224.71;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;RETROREFLECTIVO. ADB. ADB20801006 RETROREFLECTIVO ILUMINACION DE PISTA DE AEROPUERTO L-853 RETROREFLECTIVO BORDE DE CALLE RODAJE Y/B CODIGO MODE;RETROREFLECTIVO. ADB. ADB20801006 RETROREFLECTIVO ILUMINACION DE PISTA DE AEROPUERTO L-853 RETROREFLECTIVO BORDE DE CALLE RODAJE Y/B CODIGO MODE
118-387742;0003;06/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85309000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02312-21;HLCURTM210951890;ANTWERPEN;Bélgica;España;343;U;343;UNIDAD;0;No disponible;2682.52;7.82;3189.64;9.3;475.31;209.44;0.20944;232;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;RETROREFLECTIVO. ADB. ADB20880020 RETROREFLECTIVO ILUMINACION DE PISTA DE AEROPUERTO L-853 RETROREFLECTIVO GROUND MNT. SOCKET YELLOW CODIGO MODE;RETROREFLECTIVO. ADB. ADB20880020 RETROREFLECTIVO ILUMINACION DE PISTA DE AEROPUERTO L-853 RETROREFLECTIVO GROUND MNT. SOCKET YELLOW CODIGO MODE
118-387742;0004;06/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;76169990;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02312-21;HLCURTM210951890;ANTWERPEN;Bélgica;España;1;U;354.36;KILOGRAMO;0;No disponible;4538.66;4538.66;5396.67;5396.67;804.19;354.36;0.35436;392.54;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;LEAP ELEMETER. ADB. SIN MODELO LEAP ELEMETER ILUMINACION DE PISTA DE AEROPUERTO EXTRAS: LEAP ELEMETER WITH SPIRIT LEVEL BL. CODIGO;LEAP ELEMETER. ADB. SIN MODELO LEAP ELEMETER ILUMINACION DE PISTA DE AEROPUERTO EXTRAS: LEAP ELEMETER WITH SPIRIT LEVEL BL. CODIGO
118-410222;0001;21/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85359090;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02469-21;MEDUUT976674;HELSINKI;Finlandia;España;2384;U;2384;UNIDAD;0;No disponible;35267.36;14.79;36897.16;15.48;1260.83;907.65;0.90765;955.42;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;CONECTOR PRIM. SIN MARCA. KD500 CONECTOR PRIM MATERIAL HYDRULICO CONECTOR PRIM. CON. KIT 6MM 10/14.5MM;CONECTOR PRIM. SIN MARCA. KD500 CONECTOR PRIM MATERIAL HYDRULICO CONECTOR PRIM. CON. KIT 6MM 10/14.5MM
118-410222;0002;21/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85359090;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02469-21;MEDUUT976674;HELSINKI;Finlandia;España;2543;U;2543;UNIDAD;0;No disponible;18876.59;7.42;19748.94;7.77;674.85;485.81;0.48581;511.38;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;CONECTOR SECUNDARIO. SIN MARCA. KD503R.3 CONECTOR SECUNDARIO MATERIAL HYDRULICO CONECTOR SECUNDARIO HEMBRA 4.0-6.0MM;CONECTOR SECUNDARIO. SIN MARCA. KD503R.3 CONECTOR SECUNDARIO MATERIAL HYDRULICO CONECTOR SECUNDARIO HEMBRA 4.0-6.0MM
118-410222;0003;21/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85359090;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02469-21;MEDUUT976674;HELSINKI;Finlandia;España;2543;U;2543;UNIDAD;0;No disponible;16710.87;6.57;17483.13;6.88;597.42;430.07;0.43007;452.71;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;CONECTOR SECUNDARIO. SIN MARCA. KD503.3 CONECTOR SECUNDARIO MATERIAL HYDRULICO CONECTOR SECUNDARIO MACHO 4.0-6.0MM;CONECTOR SECUNDARIO. SIN MARCA. KD503.3 CONECTOR SECUNDARIO MATERIAL HYDRULICO CONECTOR SECUNDARIO MACHO 4.0-6.0MM
118-410222;0004;21/10/2021;2021;SAMPOL PERU S.A.C.;20549131761;IMPORTACION DEFINITIVA;85043110;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02469-21;MEDUUT976674;HELSINKI;Finlandia;España;178;U;178;UNIDAD;0;No disponible;12149.85;68.26;12711.33;71.41;434.36;312.69;0.31269;329.15;SAMPOL INGENIERIA Y OBRAS. S.A.;ADB;TRAFO AISLAMIENTO. SIN MARCA. KR641 TRAFO AISLAMIENTO MATERIAL HYDRULICO TRAFO AISLAMIENTO 100W W/EARTH 6.6A/6.6A 50/60HZ;TRAFO AISLAMIENTO. SIN MARCA. KR641 TRAFO AISLAMIENTO MATERIAL HYDRULICO TRAFO AISLAMIENTO 100W W/EARTH 6.6A/6.6A 50/60HZ
