DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN Netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-383958;0001;25/09/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02334-18;HDMUMXPE1787074;MANZANILLO;México;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;990;BLS;34575;1396.97;35577.18;1437.46;570;24750;24.75;25110;AB LOGISTICS DE MEXICO SA DE CV;No disponible;POLIETILENO DE ALTA DENSIDAD, S/M, S/M POLIETILENO DE ALTA DENSIDAD BOLSAS CAMISETAS 990 BAGS DE 25 KG C/U HD 49005F;POLIETILENO DE ALTA DENSIDAD, S/M, S/M POLIETILENO DE ALTA DENSIDAD BOLSAS CAMISETAS 990 BAGS DE 25 KG C/U HD 49005F
118-393297;0001;01/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02536-18;MEDUMX047787;VERACRUZ;México;Uruguay;49.5;UNIDAD;49500;KILOGRAMO;36;BUL;62420;1261.01;65130.25;1315.76;1930;49500;49.5;50440;BRASKEM IDESA SAPI;No disponible;POLIETILENO DE ALTA DENSIDAD, BRASKEM, HDB0358 HIGH DENSITY POLYETHYLENE 1980 X 25 KGS // LOTE: VZB2HG0023 USO: BOLSAS CAMISETAS HDB0358;POLIETILENO DE ALTA DENSIDAD, BRASKEM, HDB0358 HIGH DENSITY POLYETHYLENE 1980 X 25 KGS // LOTE: VZB2HG0023 USO: BOLSAS CAMISETAS HDB0358
118-393799;0001;01/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02587-18;ANRM68200A637591;SANTOS;Brasil;Uruguay;49.5;UNIDAD;49500;KILOGRAMO;36;PAL;61548.12;1243.4;65621.47;1325.69;3304;49500;49.5;50100;BRASKEM S.A.;No disponible;POLIETILENO DE BAJA DENSIDAD, BRASKEM, EB853/72 EB853/72 LOW DENSITY POLYETHYLENE GENERAL PURPOSE POLIETILENO DE BAJA DENSIDAD EB853/72;POLIETILENO DE BAJA DENSIDAD, BRASKEM, EB853/72 EB853/72 LOW DENSITY POLYETHYLENE GENERAL PURPOSE POLIETILENO DE BAJA DENSIDAD EB853/72
118-393862;0001;01/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02587-18;ANRM68400A637E9F;RIO DE JANEIRO;Brasil;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;18;PAL;33446.55;1351.38;35426.63;1431.38;1562;24750;24.75;25460;BRASKEM S.A.;No disponible;POLIPROPILENO HOMOPOLIMERO, BRASKEM, PD943XP POLYPROPYLENE HOMOPOLYMER LOTE: RJIAHF042E USO: ENVASE PARA ALIMENTOS PD943XP;POLIPROPILENO HOMOPOLIMERO, BRASKEM, PD943XP POLYPROPYLENE HOMOPOLYMER LOTE: RJIAHF042E USO: ENVASE PARA ALIMENTOS PD943XP
118-415073;0001;17/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02780-18;MEDUSA024711;SALVADOR;Brasil;Uruguay;49.5;UNIDAD;49500;KILOGRAMO;36;PAL;60370.68;1219.61;65567.31;1324.59;4442;49500;49.5;50490;BRASKEM S.A.;No disponible;POLIETILENO DE BAJA DENSIDAD, BRASKEM, LD7000A LOW DENSITY POLYETHYLENE HEAVY-DUTY 1980 BOLSAS DE 25 KG. C/U // LOTE: BAKBHG054E USO: BOLAS CAMISETAS LD7000A;POLIETILENO DE BAJA DENSIDAD, BRASKEM, LD7000A LOW DENSITY POLYETHYLENE HEAVY-DUTY 1980 BOLSAS DE 25 KG. C/U // LOTE: BAKBHG054E USO: BOLAS CAMISETAS LD7000A
118-415076;0001;17/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02780-18;MEDUSA024893;SALVADOR;Brasil;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;18;PAL;28700.34;1159.61;31280.09;1263.84;2221;24750;24.75;25616.25;BRASKEM S.A.;No disponible;POLIETILENO DE ALTA DENSIDAD, BRASKEM, JV060U HIGH DENSITY POLYETHYLENE LOTES:BADAHF063E, BADAHG112E USO: BOLSAS CAMISETAS JV060U;POLIETILENO DE ALTA DENSIDAD, BRASKEM, JV060U HIGH DENSITY POLYETHYLENE LOTES:BADAHF063E, BADAHG112E USO: BOLSAS CAMISETAS JV060U
118-415186;0001;17/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02780-18;MEDUMX056390;VERACRUZ;México;Uruguay;198;UNIDAD;198000;KILOGRAMO;144;BUL;255224;1289.01;266134.3;1344.11;7720;198000;198;201960;BRASKEM IDESA SAPI;No disponible;POLIETILENO DE ALTA DENSIDAD, BRASKEM, HDF1050 HIGH DENSITY POLYETHYLENE 7920 BOLSAS DE 25 KG. C/U // LOTE: VZB2HH027E USO: BOLSAS CAMISETAS HDF1050;POLIETILENO DE ALTA DENSIDAD, BRASKEM, HDF1050 HIGH DENSITY POLYETHYLENE 7920 BOLSAS DE 25 KG. C/U // LOTE: VZB2HH027E USO: BOLSAS CAMISETAS HDF1050
118-415802;0001;17/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;02780-18;MEDUSA024869;SALVADOR;Brasil;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;18;PAL;28947.84;1169.61;31530.68;1273.97;2221;24750;24.75;25616.25;BRASKEM S.A.;No disponible;METALOCENE FLEXUS, BRASKEM, 9211 METALOCENE FLEXUS 9211 LINEAL METALOCENE BOLSAS / LOTE: BAGBHI013E 9211;METALOCENE FLEXUS, BRASKEM, 9211 METALOCENE FLEXUS 9211 LINEAL METALOCENE BOLSAS / LOTE: BAGBHI013E 9211
118-435076;0001;31/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02797-18;ANRM68400A678KXD;RIO DE JANEIRO;Brasil;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;18;PAL;34316.17;1386.51;36307.12;1466.95;1562;24750;24.75;25100;BRASKEM S.A.;No disponible;POLIPROPILENO, BRASKEM, HP648S POLYPROPYLENE POLYMERS 990 BAGS DE 25 KG C/U USO: ENVASE PARA ALIMENTOS HP648S;POLIPROPILENO, BRASKEM, HP648S POLYPROPYLENE POLYMERS 990 BAGS DE 25 KG C/U USO: ENVASE PARA ALIMENTOS HP648S
118-435092;0001;31/10/2018;2018;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02797-18;ANRM68400A6789J1;RIO DE JANEIRO;Brasil;Uruguay;24.75;UNIDAD;24750;KILOGRAMO;18;PAL;34316.17;1386.51;36307.12;1466.95;1562;24750;24.75;25640;BRASKEM S.A.;No disponible;POLIPROPILENO, BRASKEM, HP648S POLYPROPYLENE POLYMERS LOTE: RJIAHH051E HP648S;POLIPROPILENO, BRASKEM, HP648S POLYPROPYLENE POLYMERS LOTE: RJIAHH051E HP648S
