DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
235-066709;6670;10/08/2005;2005;COMINTER S.A.C.;4  20100334381;Não disponível;39069090;AEREA DEL CALLAO;AEREA;TAMPA S.A.;-;Não disponível;MIAMI;Estados Unidos;Estados Unidos;20;KILOGRAMO;20;KILOGRAMO;0;Não disponível;20;1;70.02;3.5;49.77;20;0.02;21.5;ARKEMA INC;ARKEMA INC;CLEARSTRENGTH # 140 ARKEMA INC S/M MODIFICADOR DE IMPACTO                                 --LOS DEMAS, POLIMEROS ACRILICOS, EN FORMAS PRIMARIAS                                     PRESENTADO EN 01 SACO X 20 KG                                                             MUESTRA PARA INTRODUCCION AL MERCADO;CLEARSTRENGTH # 140 ARKEMA INC S/M MODIFICADOR DE IMPACTO                                 --LOS DEMAS, POLIMEROS ACRILICOS, EN FORMAS PRIMARIAS                                     PRESENTADO EN 01 SAC
235-075452;7545;8/09/2005;2005;COMINTER S.A.C.;4  20100334381;Não disponível;39029000;AEREA DEL CALLAO;AEREA;LAN PERU S.A.;-;Não disponível;TOKYO;Japão;Japão;1.4;KILOGRAMO;1.4;KILOGRAMO;0;Não disponível;1.4;1;83.02;59.3;81.61;1.4;0.0014;1.9;DAINICHISEIKA COLOR & CHEMICALS MFG. CO., LTD.;DAINICHISEIKA;DAIFOAM, DAINICHISEIKA, M430D                                                                                                                                                                                                                                                 COPOLIMERO TERMICO EXPANDIBLE;DAIFOAM, DAINICHISEIKA, M430D
235-075452;7545;8/09/2005;2005;COMINTER S.A.C.;4  20100334381;Não disponível;39029000;AEREA DEL CALLAO;AEREA;LAN PERU S.A.;-;Não disponível;TOKYO;Japão;Japão;1.4;KILOGRAMO;1.4;KILOGRAMO;0;Não disponível;1.4;1;83.02;59.3;81.61;1.4;0.0014;1.9;DAINICHISEIKA COLOR & CHEMICALS MFG. CO., LTD.;DAINICHISEIKA;DAIFOAM, DAINICHISEIKA, H770D                                                                                                                                                                                                                                                 COPOLIMERO TERMICO EXPANDIBLE;DAIFOAM, DAINICHISEIKA, H770D
235-075452;7545;8/09/2005;2005;COMINTER S.A.C.;4  20100334381;Não disponível;39029000;AEREA DEL CALLAO;AEREA;LAN PERU S.A.;-;Não disponível;TOKYO;Japão;Japão;1.4;KILOGRAMO;1.4;KILOGRAMO;0;Não disponível;1.4;1;83.02;59.3;81.61;1.4;0.0014;1.9;DAINICHISEIKA COLOR & CHEMICALS MFG. CO., LTD.;DAINICHISEIKA;DAIFOAM, DAINICHISEIKA, H850D                                                                                                                                                                                                                                                 COPOLIMERO TERMICO EXPANDIBLE;DAIFOAM, DAINICHISEIKA, H850D
118-017359;1735;31/01/2006;2006;COMINTER S.A.C.;4  20100334381;Não disponível;39069090;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;CHARLESTON;Estados Unidos;Estados Unidos;8000;KILOGRAMO;8000;KILOGRAMO;0;Não disponível;18507;2.31;21911.33;2.74;3173;8000;8;8460;ARKEMA INC;ARKEMA INC;CLEARSTRENGTH  201, ARKEMA INC, S/M                                                       EN 8PAL X 50 SAC X 20 KG                                                                                                                                                            MODIFICADOR DE IMPACTO;CLEARSTRENGTH  201, ARKEMA INC, S/M                                                       EN 8PAL X 50 SAC X 20 KG
118-012144;1214;14/01/2008;2008;COMINTER S.A.C.;4  20100334381;Não disponível;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;CARTAGENA;Colômbia;Colômbia;156000;KILOGRAMO;156000;KILOGRAMO;0;Não disponível;168056.34;1.08;173160;1.11;4740;156000;156;159200;PETCO - PETROQUIMICA COLOMBIANA S.A.;PETCO;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION                                                                                                                                           POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION
118-019938;1993;21/01/2008;2008;COMINTER S.A.C.;4  20100334381;Não disponível;39041020;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;CARTAGENA;Colômbia;Colômbia;104000;KILOGRAMO;104000;KILOGRAMO;0;Não disponível;114273.2;1.1;117570;1.13;3050;104000;104;106650;PETCO - PETROQUIMICA COLOMBIANA S.A.;PETCO;RESINA DE PVC, PETCO, PVC-450                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION                                                                                                                                           POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS;RESINA DE PVC, PETCO, PVC-450                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION
118-034110;3411;4/02/2008;2008;COMINTER S.A.C.;4  20100334381;Não disponível;39041020;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;CARTAGENA;Colômbia;Colômbia;156000;KILOGRAMO;156000;KILOGRAMO;0;Não disponível;167996.35;1.08;173880.01;1.11;5520;156000;156;158658;PETCO - PETROQUIMICA COLOMBIANA S.A.;PETCO;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION                                                                                                                                           POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION
118-034120;3412;4/02/2008;2008;COMINTER S.A.C.;4  20100334381;Não disponível;39041020;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;CARTAGENA;Colômbia;Colômbia;156000;KILOGRAMO;156000;KILOGRAMO;0;Não disponível;167996.36;1.08;173880.01;1.11;5520;156000;156;159400;PETCO - PETROQUIMICA COLOMBIANA S.A.;PETCO;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION                                                                                                                                           POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS;RESINA DE PVC, PETCO, PVC-440                                                             OBTENIDO POR POLIMERIZACION EN SUSPENSION
235-118757;0001;6/09/2010;2010;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;AEREA DEL CALLAO;AEREA;AMERICAN AIRLINES INC. SU;15202-10;009438462294;MIAMI;Colômbia;Colômbia;25;KILOGRAMO;25;KILOGRAMO;1;BUL;25;1;125.65;5.03;100.34;25;0.025;26.9;0;S/M;COMPUESTO DE PVC S/M MODELO:S/M TIPO: EP-2400-NATUV-25 - PRESENTADO EN KILOS COMPUESTO DE PVC;COMPUESTO DE PVC S/M MODELO:S/M TIPO: EP-2400-NATUV-25 - PRESENTADO EN KILOS COMPUESTO DE PVC
