DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-041069;0001;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;1;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P440J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL PRO P440J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010047;POLIPROPILENO COPOLIMERO, EL-PRO P440J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL PRO P440J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010047
118-041069;0002;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P640J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P640J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010105;POLIPROPILENO COPOLIMERO, EL-PRO P640J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P640J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010105
118-041069;0003;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P740J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P740J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010045;POLIPROPILENO COPOLIMERO, EL-PRO P740J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P740J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010045
118-041069;0004;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P840J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P840J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010106;POLIPROPILENO COPOLIMERO, EL-PRO P840J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P840J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010106
118-041069;0005;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P440J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL PRO P440J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010047 // MUESTRAS SIN VALOR COMERCIAL;POLIPROPILENO COPOLIMERO, EL-PRO P440J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL PRO P440J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010047 // MUESTRAS SIN VALOR
118-041069;0006;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P640J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P640J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010105 // MUESTRAS SIN VALOR;POLIPROPILENO COPOLIMERO, EL-PRO P640J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P640J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010105 // MUESTRAS SIN VALOR
118-041069;0007;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P740J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P740J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010045 // MUESTRAS SIN VALOR;POLIPROPILENO COPOLIMERO, EL-PRO P740J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P740J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 013002010045 // MUESTRAS SIN VALOR
118-041069;0008;28/01/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;03554-18;BKK/CAL/00005;BANGKOK;Tailândia;França;0.12;UNIDAD;125;KILOGRAMO;0;BUL;170.45;1420.42;180.08;1500.67;7.5;125;0.125;129.75;SCG PLASTICS CO.LTD.;Não disponível;POLIPROPILENO COPOLIMERO, EL-PRO P840J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P840J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010106 // MUESTRAS SIN VALOR;POLIPROPILENO COPOLIMERO, EL-PRO P840J, S/M POLYPROPYLENE COPOLYMER INJECTION SCG EL-PRO P840J PL?TICO RESISTENTE CON GRAN RESISTENCIA AL CALOR INDUSTRIA AUTOMOTRIZ 010302010106 // MUESTRAS SIN VALOR
118-129869;0001;28/03/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING C;00226-19;MEDUMM234172;MUNDRA;Índia;França;78;UNIDAD;78000;KILOGRAMO;3120;SAC;101674.18;1303.52;106324.1;1363.13;3379;78000;78;78310;RELIANCE INDUSTRIES LIMITED;Não disponível;POLIPROPILENO, REPOL, H045SG POLYPROPYLENE HOMOPOLYMER REPOL H045SG 3120 BAGS X 25KG NET EACH GRADE H045SG;POLIPROPILENO, REPOL, H045SG POLYPROPYLENE HOMOPOLYMER REPOL H045SG 3120 BAGS X 25KG NET EACH GRADE H045SG
118-129922;0001;28/03/2019;2019;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARIT;00248-19;NGSI80662600;MANZANILLO;Índia;França;26;UNIDAD;26000;KILOGRAMO;1040;SAC;29538;1136.08;31907.22;1227.2;2000;26000;26;26100;TOPRANK CHEMICAL CO. LIMITED;Não disponível;POLIPROPILENO, REPOL, H030SG POLIPROPILENO POLYPROPYLENE HOMOPOLYMERE REPOL H030SG SON 1040 SACOS DE 25 KILOS CADA UNO;POLIPROPILENO, REPOL, H030SG POLIPROPILENO POLYPROPYLENE HOMOPOLYMERE REPOL H030SG SON 1040 SACOS DE 25 KILOS CADA UNO
