DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-085375;0001;09/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;Não disponível;00240-17;SUDU27159A49FTAA;CARTAGENA;Colômbia;Colômbia;1000;UNIDAD;1000;KILOGRAMO;1;BUL;559;0.56;1196.98;1.2;631;1000;1;1670;NO DETERMINADO;Não disponível;HOMOPOLIMERO,,11H01A DE   216D6272;HOMOPOLIMERO,S/M,11H01A EN BOLSAS DE 25 KG NO. LOTE 216D6272
118-087872;0001;10/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00037-17;MSCUO7324020;FOS SUR MER;Colômbia;Colômbia;49500;KILOGRAMO;49500;KILOGRAMO;36;BUL;63006.84;1.27;66236.94;1.34;3213.65;49500;49.5;50810;VINMAR INTERNATIONAL LTD.;S/M;POLIETILENO,,LD2420D, LDPE LD2420D;POLIETILENO,S/M,LD2420D, LDPE LD2420D
118-087921;0001;10/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00037-17;MSCUO7343194;FOS SUR MER;Colômbia;Colômbia;49500;KILOGRAMO;49500;KILOGRAMO;36;PAL;63006.84;1.27;66236.94;1.34;3213.65;49500;49.5;50630;VINMAR INTERNATIONAL LTD.;S/M;POLIETILENO,,LD2420D LDPE LD2420D  ;POLIETILENO,S/M,LD2420D LDPE LD2420D USO INDUSTRIAL
118-097454;0001;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;3000;UNIDAD;3000;KILOGRAMO;72;PAL;3545.95;1.18;3662.49;1.22;72.22;3000;3;3046.66;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,R. 80R90CD, R. 80R90CD;COPOLIMERO,S/M,R. 80R90CD, R. 80R90CD BOLSAS 25 KG
118-097454;0002;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;51000;UNIDAD;51000;KILOGRAMO;0;PAL;60281.19;1.18;62262.47;1.22;1227.77;51000;51;51793.33;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,R. 45R60CD, R. 45R60CD;COPOLIMERO,S/M,R. 45R60CD, R. 45R60CD BOLSAS 25 KG
118-097454;0003;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;3900;UNIDAD;3900;KILOGRAMO;0;PAL;4217.73;1.08;4364.33;1.12;93.88;3900;3.9;3960.66;POLIPROPILENO DEL CARIBE S.A.;S/M;HOMOPOLIMERO,,40H92, 40H92;HOMOPOLIMERO,S/M,40H92, 40H92 EN BOLSAS 25 KG
118-097454;0004;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;10000;UNIDAD;10000;KILOGRAMO;0;PAL;11819.85;1.18;12208.33;1.22;240.74;10000;10;10155.55;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,R. 01R25, R. 01R25;COPOLIMERO,S/M,R. 01R25, R. 01R25 BOLSAS 25 KG
118-097454;0005;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;17000;UNIDAD;17000;KILOGRAMO;0;PAL;20093.75;1.18;20754.17;1.22;409.25;17000;17;17264.44;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,R. 10R10C, R. 10R10C;COPOLIMERO,S/M,R. 10R10C, R. 10R10C BOLSAS 25 KG
118-097454;0006;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;100;UNIDAD;100;KILOGRAMO;0;PAL;108.14;1.08;111.89;1.12;2.4;100;0.1;101.55;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,I. 06C30DA, I. 06C30DA;COPOLIMERO,S/M,I. 06C30DA, I. 06C30DA BOLSAS 25 KG
118-097454;0007;20/03/2017;2017;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00381-17;SUDU27159A49G0MH;CARTAGENA;Colômbia;Colômbia;10000;UNIDAD;10000;KILOGRAMO;0;PAL;11317.28;1.13;11699.48;1.17;240.74;10000;10;10155.55;POLIPROPILENO DEL CARIBE S.A.;S/M;COPOLIMERO,,I. 12C20, I. 12C20;COPOLIMERO,S/M,I. 12C20, I. 12C20 BOLSAS 25 KG
