DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netas;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-335704;0001;10/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA MARITIMA AGUNSA;21085-11;AABB7BG00;SAN VICENTE;Chile;Chile;24.75;TONELADAS;24750;KILOGRAMO;3960;BUL;43336.01;1750.95;45091.71;1821.89;1214;24750;24.75;25075;PETROQUIMICA DOW S.A.;S/M;POLIETILENO S/M S/M DE BAJA DENSIDAD LDPE 641S,;POLIETILENO S/M S/M DE BAJA DENSIDAD LDPE 641S,
118-335704;0002;10/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA MARITIMA AGUNSA;21085-11;AABB7BG00;SAN VICENTE;Chile;Chile;24.75;TONELADAS;24750;KILOGRAMO;0;BUL;43336.01;1750.95;45091.71;1821.89;1214;24750;24.75;25075;PETROQUIMICA DOW S.A.;S/M;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,
118-335704;0003;10/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA MARITIMA AGUNSA;21085-11;AABB7BG00;SAN VICENTE;Chile;Chile;24.75;TONELADAS;24750;KILOGRAMO;0;BUL;43336.01;1750.95;45091.71;1821.89;1214;24750;24.75;25075;PETROQUIMICA DOW S.A.;S/M;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,
118-335704;0004;10/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA MARITIMA AGUNSA;21085-11;AABB7BG00;SAN VICENTE;Chile;Chile;24.75;TONELADAS;24750;KILOGRAMO;0;BUL;43336.01;1750.95;45091.71;1821.89;1214;24750;24.75;25075;PETROQUIMICA DOW S.A.;S/M;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,;POLIETILENO S/M S/M BAJA DENSIDAD LDPE 641S,
118-346376;0001;16/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02155-11;SMLU2846779A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;24750;KILOGRAMO;18;BUL;37550;1517.17;40069.37;1618.96;2050;24750;24.75;25130;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO DE ALTA DENSIDAD S/M IP-10262 DOWLEX IP-10262,;POLIETILENO DE ALTA DENSIDAD S/M IP-10262 DOWLEX IP-10262,
118-357367;0001;23/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02155-11;SMLU2855135A;HOUSTON;Estados Unidos;Estados Unidos;24.75;UNIDAD;24750;KILOGRAMO;36;BUL;40025;1617.17;42575.31;1720.21;2050;24750;24.75;25230;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO DE BAJA DENSIDAD S/M 2045.11G DOWLEX 245.11G POLYETHYLENE RESIN,;POLIETILENO DE BAJA DENSIDAD S/M 2045.11G DOWLEX 245.11G POLYETHYLENE RESIN,
118-357367;0002;23/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02155-11;SMLU2855135A;HOUSTON;Estados Unidos;Estados Unidos;24.75;UNIDAD;24750;KILOGRAMO;0;BUL;40025;1617.17;42575.31;1720.21;2050;24750;24.75;25230;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO DE BAJA DENSIDAD S/M 2045.11G DOWLEX 2045.11G POLYETHYLENE RESIN,;POLIETILENO DE BAJA DENSIDAD S/M 2045.11G DOWLEX 2045.11G POLYETHYLENE RESIN,
118-368185;0001;30/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02267-11;SMLU2855156A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;24984;KILOGRAMO;36;BUL;41262.5;1667.17;43828.28;1770.84;2050;24984;24.984;25355;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M 5401 G ELITE 5401 G  METALOCENO,;POLIETILENO S/M 5401 G ELITE 5401 G  METALOCENO,
118-368185;0002;30/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02267-11;SMLU2855156A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;24984;KILOGRAMO;0;BUL;41262.5;1667.17;43828.28;1770.84;2050;24984;24.984;25355;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M 5401 G ELITE 5401 G METALOCENO,;POLIETILENO S/M 5401 G ELITE 5401 G METALOCENO,
118-368191;0001;30/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02267-11;SMLU2850093A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;25029;KILOGRAMO;54;BUL;39984;1615.52;42533.8;1718.54;2050;25029;25.029;25400;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M 2085G DOWLEX 2085 G,;POLIETILENO S/M 2085G DOWLEX 2085 G,
118-368191;0002;30/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02267-11;SMLU2850093A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;25029;KILOGRAMO;0;BUL;39984;1615.52;42533.8;1718.54;2050;25029;25.029;25400;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M 2085G DOWLEX 2085 G,;POLIETILENO S/M 2085G DOWLEX 2085 G,
118-368191;0003;30/09/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02267-11;SMLU2850093A;NEW ORLEANS INTERNATIONAL;Estados Unidos;Estados Unidos;24.75;TONELADAS;25029;KILOGRAMO;0;BUL;37632;1520.48;40152.4;1622.32;2050;25029;25.029;25400;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M IP-10262 DOWLEX IP-10262,;POLIETILENO S/M IP-10262 DOWLEX IP-10262,
118-379295;0001;07/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02341-11;SMLU2855138A;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;68;BUL;36518.75;1562.63;39025.23;1669.89;2050;23375;23.375;23882.5;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M DOWLEX 2247G,;POLIETILENO S/M S/M DOWLEX 2247G,
118-379295;0002;07/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02341-11;SMLU2855138A;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;0;BUL;36518.75;1562.63;39025.23;1669.89;2050;23375;23.375;23882.5;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M DOWLEX 2247G,;POLIETILENO S/M S/M DOWLEX 2247G,
118-379295;0003;07/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02341-11;SMLU2855138A;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;0;BUL;36518.75;1562.63;39025.23;1669.89;2050;23375;23.375;23882.5;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M XUS 60901.07,;POLIETILENO S/M S/M XUS 60901.07,
118-379295;0004;07/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02341-11;SMLU2855138A;HOUSTON;Estados Unidos;Estados Unidos;23.37;TONELADAS;23375;KILOGRAMO;0;BUL;36518.75;1562.63;39025.23;1669.89;2050;23375;23.375;23882.5;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M XUS 60901.07,;POLIETILENO S/M S/M XUS 60901.07,
118-395569;0001;19/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02405-11;SMLU2878228A;HOUSTON;Estados Unidos;Estados Unidos;49.5;TONELADAS;49500;KILOGRAMO;36;BUL;80050;1617.17;85150.62;1720.21;4100;49500;49.5;50410;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M 1321I BAJA DENSIDAD,;POLIETILENO S/M S/M 1321I BAJA DENSIDAD,
118-395570;0001;19/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02405-11;SMLU2878209A;HOUSTON;Estados Unidos;Estados Unidos;88;TONELADAS;88000;KILOGRAMO;64;BUL;126440;1436.82;136220.5;1547.96;8200;88000;88;89413;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M DOWLEX 2645.11,;POLIETILENO S/M S/M DOWLEX 2645.11,
118-395571;0001;19/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02405-11;SMLU2878215A;HOUSTON;Estados Unidos;Estados Unidos;88;TONELADAS;88000;KILOGRAMO;64;BUL;141400;1606.82;151367.5;1720.09;8200;88000;88;89850;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO S/M S/M TONELADAS METRICAS POLYETHYLENE 1321I LOW DENSITY,;POLIETILENO S/M S/M TONELADAS METRICAS POLYETHYLENE 1321I LOW DENSITY,
118-409183;0001;27/10/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;21194-11;SUDU210017157064;CARTAGENA;Estados Unidos;Estados Unidos;99;UNIDAD;99000;KILOGRAMO;3960;BUL;160520;1621.41;170306.5;1720.27;7780;99000;99;100966;THE DOW CHEMICAL COMPANY;S/M;POLIETILENO DE BAJA S/M S/M ,;POLIETILENO DE BAJA S/M S/M ,
118-442729;0001;17/11/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02633-11;MSCUDM512127;JUBAIL;Arábia Saudita;Estados Unidos;24.75;UNIDAD;24750;KILOGRAMO;990;BUL;30512.54;1232.83;33793.94;1365.41;2900;24750;24.75;25200;SABIC AMERICA'S INC. 2500 CITY WEST;S/M;POLIETILENO S/M S/M TONELADAS METRICAS LLDPE 118WS 148,;POLIETILENO S/M S/M TONELADAS METRICAS LLDPE 118WS 148,
118-442729;0002;17/11/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02633-11;MSCUDM512135;JUBAIL;Arábia Saudita;Estados Unidos;24.75;UNIDAD;24750;KILOGRAMO;990;BUL;31007.54;1252.83;34295.13;1385.66;2900;24750;24.75;25340;SABIC AMERICA'S INC. 2500 CITY WEST;Não disponível;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,
118-452520;0001;24/11/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;Não disponível;21289-11;MAEUDC8144957;HOUSTON;Estados Unidos;Estados Unidos;49.5;TONELADAS;49500;KILOGRAMO;1980;BUL;80450;1625.25;85285.62;1722.94;3830;49500;49.5;50510;THE DOW CHEMICAL COMPANY 2030 DOW C;DOW;POLIETILENO DE BAJA DOW 503A 503A LOW DENSITY,;POLIETILENO DE BAJA DOW 503A 503A LOW DENSITY,
118-464253;0001;01/12/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;UNIMAR S.A.;21285-11;MSCUDM519312;JUBAIL;Arábia Saudita;Estados Unidos;24.75;TONELADAS;24750;KILOGRAMO;990;BUL;30307.61;1224.55;34286.33;1385.31;3599.88;24750;24.75;25260;SABIC AMERICA'S INC. 2500 CITY WEST;S/M;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,
118-489711;0001;19/12/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;02928-11;SMLU2930820A;HOUSTON;Estados Unidos;Estados Unidos;49.5;TONELADAS;49500;KILOGRAMO;36;BUL;69860;1411.31;74133.25;1497.64;3400;49500;49.5;50310;THE DOW CHEMICAL COMPANY;DOWLEX;POLIETILENO DOWLEX IP-10262 ,;POLIETILENO DOWLEX IP-10262 ,
118-499791;0001;27/12/2011;2011;SM RESINAS PERU S.A.C.;4  20543999106;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;Não disponível;21348-11;MAEUR83014415;JUBAIL;Arábia Saudita;Estados Unidos;24.75;UNIDAD;24750;KILOGRAMO;990;BUL;29686.39;1199.45;33903.58;1369.84;3846.11;24750;24.75;25300;SABIC AMERICAS INC. 2500 CITY WEST;S/M;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,;POLIETILENO S/M S/M TONELADA METRICA LLDPE 120 W 148,
