DUA;Item;Fecha;A駉;Importador;RUC;Regimen;C骴igo NCM;Aduana;V韆 Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;Pa韘 de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;Descripci髇 de Mercader韆;Descripci髇 para Filtro
235-000583;0001;03/01/2022;2022;SACOS PISCO S.A.C.;4  20100131430;IMPORTACION DEFINITIVA;39021000;AEREA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;03047-21;SMLU6909209B;MANZANILLO;Colombia;Colombia;25500;KG;25500;KILOGRAMO;0;No disponible;47180;1.85;50019.98;1.96;2800;25500;26000;ESENTTIA SA;ESSENTTIA;POLIPROPILENO, ESSENTTIA, 01H41 EN BOLSAS 25 KG C/U  HOMOPOLIMERO 01H41;POLIPROPILENO, ESSENTTIA, 01H41 EN BOLSAS 25 KG C/U  HOMOPOLIMERO 01H41
118-000583;0001;03/01/2022;2022;SACOS PISCO S.A.C.;4  20100131430;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;03047-21;SMLU6909209B;MANZANILLO;Colombia;Colombia;25500;KG;25500;KILOGRAMO;0;No disponible;47180;1.85;50019.98;1.96;2800;25500;25986.28;ESENTTIA SA;ESSENTTIA;POLIPROPILENO, ESSENTTIA, 01H41 EN BOLSAS 25 KG C/U  HOMOPOLIMERO 01H41;POLIPROPILENO, ESSENTTIA, 01H41 EN BOLSAS 25 KG C/U  HOMOPOLIMERO 01H41
118-001297;0001;04/01/2022;2022;POLIMASTER S.A.C.;4  20380632943;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;03014-21;MAEUR04183926;BUENAVENTURA;Arabia Saudi;Estados Unidos;24;TM;24000;KILOGRAMO;0;No disponible;39041.04;1626.71;40500.36;1687.52;1419;24000;24530;SABIC AMERICAS INC.;SABIC;POLIPROPILENO. SABIC. 49MK45 EN SACOS DE 25KG C/U PARA LA INDUSTRIA DEL PLASTICO PP 49MK45 149 CODIGO: PP 49MK45 149;POLIPROPILENO. SABIC. 49MK45 EN SACOS DE 25KG C/U PARA LA INDUSTRIA DEL PLASTICO PP 49MK45 149 CODIGO: PP 49MK45 149
118-001658;0002;04/01/2022;2022;INVERSIONES SAN GABRIEL S A;4  20100403294;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130540;CARTAGENA;Colombia;Colombia;25500;KG;25500;KILOGRAMO;0;No disponible;47664;1.87;50289.29;1.97;2571;25500;25843.33;ESENTTIA S A NIT:800.059.470-5;ESENTTIA;PP HOMOPOLIMERO. ESENTTIA. 01H41 USO INDUSTRIAL LAMINAS DE POLIPROPILENO EN PALETAS HOMOPOLIMERO 01H41 BOLSAS 25 KG;PP HOMOPOLIMERO. ESENTTIA. 01H41 USO INDUSTRIAL LAMINAS DE POLIPROPILENO EN PALETAS HOMOPOLIMERO 01H41 BOLSAS 25 KG
172-001658;0002;04/01/2022;2022;INVERSIONES SAN GABRIEL S A;4  20100403294;IMPORTACION DEFINITIVA;39021000;TACNA;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130540;CARTAGENA;Colombia;Colombia;25500;KG;25500;KILOGRAMO;0;No disponible;47664;1.87;50289.29;1.97;2571;25500;25843.33;ESENTTIA S A NIT:800.059.470-5;ESENTTIA;PP HOMOPOLIMERO, ESENTTIA, 01H41 USO INDUSTRIAL LAMINAS DE POLIPROPILENO EN PALETAS HOMOPOLIMERO 01H41 BOLSAS 25 KG;PP HOMOPOLIMERO, ESENTTIA, 01H41 USO INDUSTRIAL LAMINAS DE POLIPROPILENO EN PALETAS HOMOPOLIMERO 01H41 BOLSAS 25 KG
118-002396;0015;04/01/2022;2022;DAYR INVERSIONES MULTIPLES SOCIEDAD ANON;4  20508529890;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;00031-22;TMSE1640442;NANSHA;China;China;28000;KG;28000;KILOGRAMO;0;No disponible;19600;0.7;34803.33;1.24;15183.73;28000;28019.97;FOSHAN YINGDE PLASTIC HARDWARE INDUSTRY FACTORY;S/M;POLIPROPILENO, S/M, S/M POLIPROPILENO BLANCO RECICLADO PARA USARLO EN MAQUINAS DE INYECCION PP PARTICLES PP RECICLADO;POLIPROPILENO, S/M, S/M POLIPROPILENO BLANCO RECICLADO PARA USARLO EN MAQUINAS DE INYECCION PP PARTICLES PP RECICLADO
235-002396;0015;04/01/2022;2022;DAYR INVERSIONES MULTIPLES SOCIEDAD ANON;4  20508529890;IMPORTACION DEFINITIVA;39021000;AEREA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;00031-22;TMSE1640442;NANSHA;China;China;28000;KG;28000;KILOGRAMO;0;No disponible;19600;0.7;34803.32;1.24;15183.73;28000;28156.49;FOSHAN YINGDE PLASTIC HARDWARE INDUSTRY FACTORY;S/M;POLIPROPILENO, S/M, S/M POLIPROPILENO BLANCO RECICLADO PARA USARLO EN MAQUINAS DE INYECCION PP PARTICLES PP RECICLADO;POLIPROPILENO, S/M, S/M POLIPROPILENO BLANCO RECICLADO PARA USARLO EN MAQUINAS DE INYECCION PP PARTICLES PP RECICLADO
118-002493;0001;04/01/2022;2022;COLCA DEL PERU S A;4  20100351804;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;03137-21;CNCM2111003;No disponible;Corea del Sur;Estados Unidos;110;TM;110000;KILOGRAMO;0;No disponible;138600;1260;193774.24;1761.58;55000;110000;111590;HYOSUNG TNC CORPORATION;DAELIM;POLIPROPILENO, DAELIM, S/M USO: MENAJERIA  POLYPROPYLENE UH602N;POLIPROPILENO, DAELIM, S/M USO: MENAJERIA  POLYPROPYLENE UH602N
172-002672;0001;04/01/2022;2022;SURPACK S.A.;4  20122720650;IMPORTACION DEFINITIVA;39021000;TACNA;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130557;CARTAGENA;Chile;Colombia;27000;KG;27000;KILOGRAMO;0;No disponible;49809;1.84;52416.67;1.94;2571;27000;27300;ESENTTIA S A NIT:800.059.470-5;ESSENTTIA;POLIPROPILENO HOMOPOLIMERO, ESSENTTIA, S/M BOLSAS DE 25KG LOTE: 121N1852A HOMOPOLIMERO 01H41 18 PALETAS CON 1080 BOLSAS DE 25 LKG;POLIPROPILENO HOMOPOLIMERO, ESSENTTIA, S/M BOLSAS DE 25KG LOTE: 121N1852A HOMOPOLIMERO 01H41 18 PALETAS CON 1080 BOLSAS DE 25 LKG
118-002755;0001;04/01/2022;2022;SURPACK S.A.;4  20122720650;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1131068;CARTAGENA;Colombia;Colombia;135000;KG;135000;KILOGRAMO;0;No disponible;249295;1.85;262333.5;1.94;12855;135000;136240;ESENTTIA S A NIT:800.059.470-5;ESENTTIA;POLIPROPILENO HOMOPOLIMERO. ESENTTIA. S/M LOTE: 121N1850A. 121N1851A. 121N1852A.  HOMOPOLIMERO 01H41 5400 BOLSAS DE 25 KG C/U;POLIPROPILENO HOMOPOLIMERO. ESENTTIA. S/M LOTE: 121N1850A. 121N1851A. 121N1852A.  HOMOPOLIMERO 01H41 5400 BOLSAS DE 25 KG C/U
