DUA;Item;Fecha;AÒo;Importador;RUC;Regimen;CÛdigo NCM;Aduana;VÌa Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;PaÌs de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;DescripciÛn de MercaderÌa;DescripciÛn para Filtro
118-000842;0001;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0002;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;9645.12;LB;4375;KILOGRAMO;1.75;SAC;4947.01;0.51;5464.04;0.57;513.33;4375;4375;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 175  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 175  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0003;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;31691.12;LB;14375;KILOGRAMO;5.75;SAC;16253.03;0.51;17951.84;0.57;1686.66;14375;14375;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 575  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 575  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0004;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;38084.46;LB;17275;KILOGRAMO;6.91;SAC;19532.23;0.51;21573.75;0.57;2026.93;17275;17275;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 691  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 691  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0005;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;3251.78;LB;1475;KILOGRAMO;0.59;SAC;1667.8;0.51;1842.11;0.57;173.06;1475;1475;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 59  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 59  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0006;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0007;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0008;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000842;0009;04/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02898-20;SMLU6395741A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-000873;0001;04/01/2021;2021;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02948-20;HLCUSEL2010AQHU0;KRZZA;Corea del Sur;Uruguay;110;TM;110000;KILOGRAMO;44;BUL;130552.95;1186.85;143757.8;1306.89;13040.65;110000;110440;LOTTE CHEMICAL CORPORATION;LOTTE CHEMICAL;POLIPROPILENO COPOLIMERO RANDOM, Lotte Chemical, S/M   POLIPROPILENO COPOLIMERO RANDOM J-590K POLYPROPYLENE COPOLYMER RANDOM;POLIPROPILENO COPOLIMERO RANDOM, Lotte Chemical, S/M   POLIPROPILENO COPOLIMERO RANDOM J-590K POLYPROPYLENE COPOLYMER RANDOM
